lang,negative_user_sentiment_avg,neutral_user_sentiment_avg,positive_user_sentiment_avg,negative_user_sentiment_std,neutral_user_sentiment_std,positive_user_sentiment_std,negative_assistant_sentiment_avg,neutral_assistant_sentiment_avg,positive_assistant_sentiment_avg,negative_assistant_sentiment_std,neutral_assistant_sentiment_std,positive_assistant_sentiment_std,negative_user_sentiment_count,neutral_user_sentiment_count,positive_user_sentiment_count,negative_assistant_sentiment_count,neutral_assistant_sentiment_count,positive_assistant_sentiment_count,negative_diff,neutral_diff,positive_diff
Bulgarian,0.13284510073728822,0.7386754345523113,0.12847945926505983,0.08528853346773346,0.11839189850117963,0.09265678749786099,0.17695717496182503,0.6308228376022936,0.1922199852791343,0.15546858236554564,0.1890689694970812,0.17178394896959998,209,209,209,209,209,209,0.04411207422453681,-0.1078525969500177,0.06374052601407448
Catalan,0.26897342582802763,0.6014702223884545,0.12955635092924717,0.20279913096701158,0.19474020616802507,0.10539103302762239,0.28283855692892196,0.5069205981793163,0.21024084463045536,0.19447905369718188,0.1826832949512421,0.176379034598393,278,278,278,278,278,278,0.013865131100894323,-0.09454962420913815,0.0806844937012082
Croatian,0.30385355582541745,0.5451974041112091,0.1509490427358643,0.19520071092429273,0.1973090137756381,0.1287915457590346,0.26273179191934026,0.5293223489399838,0.207945858573784,0.18776670824987451,0.18895669339586452,0.1339162557271597,92,92,92,92,92,92,-0.04112176390607719,-0.01587505517122534,0.05699681583791971
Czech,0.2485914447349212,0.6067015224359404,0.14470703399657084,0.1831820431260912,0.19794236839928622,0.10919171896494737,0.23158042082571786,0.5683106335465897,0.20010894807842625,0.15583076245351274,0.1796615485092432,0.1547445687595271,426,426,426,426,426,426,-0.017011023909203338,-0.038390888889350716,0.05540191408185541
Danish,0.21085149728706665,0.632992150316382,0.15615635140234754,0.15958163987835536,0.17359273033168113,0.11800739291175379,0.2531735476167587,0.5237333346498165,0.22309311919838842,0.17555308549950363,0.16622602282498242,0.14812542874149773,548,548,548,548,548,548,0.04232205032969205,-0.10925881566656548,0.06693676779604088
Dutch,0.2389356491831341,0.6356657567467574,0.12539859416869445,0.2138707373732859,0.21569934463084922,0.11128603366556429,0.24927132196833487,0.5691096663416304,0.1816190124273317,0.19569816404039184,0.209519617113001,0.16845056190586577,888,888,888,888,888,888,0.010335672785200783,-0.066556090405127,0.056220418258637245
English,0.2639381252499312,0.5783016315469822,0.15776024289678686,0.20128814697264857,0.1903528438670575,0.10928464085574018,0.2837882260467298,0.4942675677761102,0.2219442062638638,0.20026634667714252,0.1747705978528268,0.1464279175564679,693617,693617,693617,693617,693617,693617,0.01985010079679861,-0.08403406377087203,0.06418396336707693
Estonian,0.3088515525062879,0.4492218444744746,0.2419266076042102,0.13809074902811935,0.18485033976193072,0.12393395684482492,0.24006235064604345,0.45433562994003296,0.30560201645279544,0.11087616708550206,0.17552413427631697,0.1989167901000108,39,39,39,39,39,39,-0.06878920186024443,0.0051137854655583515,0.06367540884858525
Finnish,0.3359944755021407,0.5065952419322364,0.15741028188772144,0.24652658981992043,0.21539906471961207,0.13880851339492295,0.2982149963286154,0.48283446354626797,0.2189505361464052,0.2026236759328906,0.1692870633287376,0.15737083529179838,147,147,147,147,147,147,-0.037779479173525254,-0.023760778385968406,0.06154025425868376
French,0.27214234265763904,0.48137800575387285,0.24647965073374065,0.21172300446201903,0.2027786812441313,0.17269102801550643,0.2789074541662407,0.41004805499588987,0.3110444906190129,0.19183331645496163,0.1723747815103596,0.182475630349623,13196,13196,13196,13196,13196,13196,0.006765111508601651,-0.07132995075798299,0.06456483988527226
Galician,0.19955015121284517,0.6795520749561779,0.12089776828253226,0.18724745974393414,0.19433609660993187,0.09215406166658033,0.2307208262897317,0.5630055249869402,0.20627364898989037,0.1533440767516909,0.16472371647806214,0.13505430148964556,283,283,283,283,283,283,0.031170675076886534,-0.11654654996923763,0.0853758807073581
German,0.21645451585180667,0.6767812283534033,0.10676425612982149,0.18443755012497248,0.19931155789271374,0.12243808323759477,0.21504300726639536,0.6335758429035038,0.15138114983722614,0.165919468272664,0.20186113850909443,0.1702015664932295,12940,12940,12940,12940,12940,12940,-0.0014115085854113085,-0.04320538544989949,0.04461689370740465
Greek,0.25534766730335023,0.5496872525199566,0.19496507688480266,0.14783929223439937,0.15515173921661063,0.13067131878719615,0.23735073658278566,0.5252551969067724,0.23739406473545077,0.13604968353034447,0.14287600044174184,0.14430929444854193,765,765,765,765,765,765,-0.017996930720564575,-0.02443205561318429,0.04242898785064811
Hungarian,0.20014590374641836,0.655126808461948,0.1447272909214147,0.14059902970213523,0.17500345060979866,0.12111499909437622,0.19969931924536538,0.6047860888423972,0.1955145898839244,0.17684894364050702,0.20137509321833746,0.15836435272248675,416,416,416,416,416,416,-0.00044658450105297676,-0.05034071961955089,0.05078729896250969
Irish,0.28407657193019986,0.5303319729864597,0.18559146474581212,0.1802883763725234,0.20614816860372812,0.17763932466442722,0.37193266954272985,0.39409252908080816,0.23397479363484308,0.3103034168144846,0.2253591239553111,0.25235872464262477,16,16,16,16,16,16,0.08785609761252999,-0.13623944390565157,0.04838332888903096
Italian,0.2759956052321525,0.5889694558471587,0.13503493931973468,0.23388829741202605,0.22794957398499874,0.14365789474488744,0.2832708811072098,0.5314961553921019,0.18523296370461984,0.21669665658771264,0.20696454102448777,0.16882503302760493,11513,11513,11513,11513,11513,11513,0.00727527587505733,-0.05747330045505672,0.05019802438488516
Latvian,0.2197456003299781,0.6746549191219466,0.10559947739931799,0.14503268378898607,0.1425809191303107,0.08630444592977127,0.28365405141154215,0.5130670515909082,0.20327891267481304,0.21511079169473385,0.2138721754128326,0.17435818493817923,42,42,42,42,42,42,0.06390845108156404,-0.1615878675310385,0.09767943527549505
Lithuanian,0.2167623591210161,0.7132155639784676,0.07002204709819385,0.10686426295521423,0.10571144829992336,0.029675546622375627,0.244107400732381,0.5910379482167107,0.16485465663884366,0.07860571424099283,0.1325533076092528,0.08394323726589921,14,14,14,14,14,14,0.02734504161136489,-0.1221776157617569,0.09483260954064981
Maltese,0.25764584238640964,0.5830652350559831,0.15928892511874437,0.16277017631256568,0.2249462142331827,0.11568199358743074,0.16289596853312105,0.5836951676756144,0.2534088771790266,0.10766584162331692,0.1721055798414765,0.18099885520695208,16,16,16,16,16,16,-0.09474987385328859,0.0006299326196312904,0.09411995206028223
Norwegian,0.19366286398034613,0.6517316748229962,0.15460546160081648,0.1674652206899668,0.18651181020171315,0.13686753158186823,0.22042052100746418,0.5062272807864366,0.2733521973494581,0.1833897881897914,0.18275973519529826,0.1882443868043965,212,212,212,212,212,212,0.026757657027118048,-0.14550439403655957,0.11874673574864161
Polish,0.18652866483757116,0.6977778047540907,0.11569353102880764,0.17410657879933833,0.18564053600654135,0.1127941725861085,0.19270430552109832,0.6319214935262365,0.1753741995674311,0.1765579150486133,0.19821116055857416,0.1585939855156854,2259,2259,2259,2259,2259,2259,0.0061756406835271616,-0.06585631122785418,0.05968066853862347
Portuguese,0.19049539180425276,0.6675177343145151,0.1419868743838227,0.1713956837440207,0.18216044956833516,0.125794298368278,0.20374893860798693,0.6024064462118682,0.19384461538095366,0.15776055044808762,0.17017234847016424,0.14855764629056223,24576,24576,24576,24576,24576,24576,0.013253546803734167,-0.06511128810264688,0.05185774099713095
Romanian,0.2099817632176815,0.6625490434729634,0.1274691962074643,0.1833936892651488,0.19318918017770478,0.11697280619443863,0.19562814986339203,0.5993440989107369,0.2050277516037559,0.1728626380846355,0.19463764163280475,0.17188403556611465,313,313,313,313,313,313,-0.014353613354289474,-0.06320494456222647,0.07755855539629158
Slovak,0.25118549965807924,0.5959648755401517,0.15284962875651564,0.19090334116786,0.2130722094157264,0.13094435918277625,0.22459447835144644,0.5789479526920595,0.19645757099460576,0.15226565075436302,0.17112899127488881,0.14624105527208953,207,207,207,207,207,207,-0.026591021306632795,-0.017016922848092197,0.043607942238090114
Slovenian,0.18484533340602682,0.672275221326213,0.1428794465635134,0.16720574303815683,0.18742287866865084,0.10111751495159621,0.22808885747107907,0.5548361640261568,0.21707498284893623,0.1627423892584147,0.1929855203167206,0.1444651977759185,69,69,69,69,69,69,0.04324352406505225,-0.11743905730005622,0.07419553628542283
Spanish,0.21188234724991797,0.6528084893543519,0.13530916352542188,0.19249594537820972,0.19795046496323054,0.12608521410215673,0.2240133293176646,0.5600854840784191,0.215901186863355,0.16966393305403057,0.17358724426810743,0.15729041342567765,16897,16897,16897,16897,16897,16897,0.012130982067746626,-0.0927230052759328,0.08059202333793311
Swedish,0.250281497925262,0.5762607927250158,0.1734577094293873,0.19469879926264547,0.19965099213375495,0.15701173791342585,0.24092339887805359,0.49710467997217617,0.26197192167897393,0.18925646603323426,0.1864992333853095,0.1959869230453301,491,491,491,491,491,491,-0.009358099047208412,-0.07915611275283968,0.08851421224958664
Ukrainian,0.16679369125724694,0.6947582293190925,0.1384480785837247,0.11728588011419351,0.13344478196108922,0.08703856985000352,0.1926763312749425,0.637328961319901,0.16999470672643072,0.13780652073009422,0.1552061981680855,0.11761647905707122,907,907,907,907,907,907,0.025882640017695552,-0.05742926799919146,0.03154662814270601
