lang,role,avg_harassment_score,avg_harassment/threatening_score,avg_hate_score,avg_hate/threatening_score,avg_self-harm_score,avg_self-harm/instructions_score,avg_self-harm/intent_score,avg_sexual_score,avg_sexual/minors_score,avg_violence_score,avg_violence/graphic_score,avg_max_toxicity_score,avg_avg_toxicity_score,std_harassment_score,std_harassment/threatening_score,std_hate_score,std_hate/threatening_score,std_self-harm_score,std_self-harm/instructions_score,std_self-harm/intent_score,std_sexual_score,std_sexual/minors_score,std_violence_score,std_violence/graphic_score,std_max_toxicity_score,std_avg_toxicity_score
Bulgarian,all,0.0035,0.00005,0.00045,0.00007,0.00006,0.00002,0.00002,0.00074,0.00003,0.00202,0.00019,0.0057,0.00065,0.03722,0.00021,0.00224,0.00043,0.00044,0.00017,0.00008,0.00371,0.00014,0.01334,0.00078,0.0395,0.00378
Bulgarian,assistant,0.00094,0.00003,0.00025,0.00002,0.00005,0.00001,0.00002,0.00111,0.00003,0.00144,0.00022,0.00281,0.00037,0.00478,0.00014,0.00117,0.00008,0.00025,0.00003,0.00006,0.00507,0.00008,0.00332,0.00076,0.00734,0.00082
Bulgarian,user,0.00606,0.00007,0.00065,0.00012,0.00008,0.00004,0.00003,0.00036,0.00004,0.00261,0.00015,0.00858,0.00093,0.05236,0.00025,0.00294,0.0006,0.00057,0.00023,0.0001,0.00125,0.00018,0.01858,0.00079,0.0553,0.00528
Catalan,all,0.00585,0.00011,0.00095,0.00009,0.00019,0.00001,0.00004,0.03709,0.01577,0.00549,0.00028,0.04553,0.00599,0.04823,0.00122,0.00361,0.00108,0.00253,0.00012,0.00065,0.17193,0.10444,0.04286,0.00244,0.17906,0.02514
Catalan,assistant,0.00341,0.00008,0.00029,0.00001,0.00028,0.00001,0.00006,0.03689,0.01629,0.00302,0.00021,0.04156,0.0055,0.03468,0.00137,0.00096,0.00006,0.00356,0.00016,0.00091,0.17106,0.11164,0.01892,0.00132,0.17412,0.02472
Catalan,user,0.0083,0.00014,0.00161,0.00017,0.0001,0.00001,0.00001,0.0373,0.01526,0.00796,0.00036,0.04949,0.00647,0.05868,0.00105,0.00493,0.00152,0.00041,0.00005,0.00006,0.173,0.09682,0.05752,0.00319,0.18399,0.02557
Croatian,all,0.00299,0.00006,0.00155,0.00004,0.00002,0.0,0.0,0.00061,0.00005,0.00244,0.00068,0.00573,0.00077,0.03216,0.00043,0.02694,0.00016,0.00009,0.00002,0.00002,0.00225,0.00019,0.01038,0.00462,0.03361,0.00548
Croatian,assistant,0.00152,0.00004,0.00014,0.00003,0.00002,0.0,0.0,0.00021,0.00003,0.00277,0.00092,0.00425,0.00052,0.01232,0.00042,0.00067,0.00018,0.00007,0.00002,0.00002,0.00091,0.00014,0.01253,0.00618,0.01741,0.00201
Croatian,user,0.00445,0.00007,0.00296,0.00005,0.00001,0.0,0.0,0.00101,0.00008,0.00211,0.00044,0.00722,0.00102,0.04379,0.00044,0.03808,0.00014,0.0001,0.0,0.00001,0.00299,0.00022,0.00767,0.00211,0.04424,0.00748
Czech,all,0.00201,0.00005,0.00046,0.00003,0.00046,0.00001,0.00005,0.00513,0.00035,0.01023,0.00064,0.01419,0.00177,0.02712,0.00043,0.00272,0.0002,0.00584,0.0001,0.00081,0.04622,0.00285,0.06488,0.0076,0.07506,0.0099
Czech,assistant,0.00054,0.00005,0.00019,0.00002,0.00039,0.00001,0.00002,0.00397,0.00046,0.01063,0.00071,0.01413,0.00154,0.00223,0.00049,0.00145,0.00013,0.00427,0.00004,0.00016,0.03774,0.00365,0.06746,0.0069,0.07655,0.00796
Czech,user,0.00348,0.00004,0.00072,0.00005,0.00054,0.00002,0.00008,0.0063,0.00024,0.00984,0.00057,0.01426,0.00199,0.03825,0.00037,0.00354,0.00025,0.00708,0.00013,0.00113,0.05338,0.00172,0.06226,0.00825,0.0736,0.01153
Danish,all,0.00418,0.00031,0.00132,0.00013,0.00021,0.00001,0.00001,0.0183,0.00554,0.00434,0.00017,0.02487,0.00314,0.03453,0.00806,0.02702,0.00338,0.00484,0.00016,0.00018,0.10455,0.06533,0.0386,0.00207,0.1136,0.01677
Danish,assistant,0.00137,0.00007,0.00023,0.00001,0.00009,0.00002,0.00001,0.01721,0.00918,0.00378,0.00024,0.0214,0.00293,0.00855,0.00088,0.00164,0.0001,0.00066,0.00021,0.00006,0.10593,0.08765,0.02901,0.0029,0.10989,0.01727
Danish,user,0.00698,0.00055,0.00242,0.00025,0.00032,0.00001,0.00002,0.01939,0.0019,0.0049,0.00009,0.02835,0.00335,0.04793,0.01136,0.03815,0.00478,0.00681,0.00008,0.00025,0.10321,0.02884,0.04625,0.00041,0.11718,0.01626
Dutch,all,0.00903,0.00016,0.00224,0.00003,0.00037,0.00001,0.00003,0.03267,0.00771,0.0106,0.00182,0.04795,0.00588,0.06503,0.00187,0.01918,0.00015,0.00391,0.00008,0.00061,0.16161,0.0753,0.06528,0.02054,0.17757,0.02345
Dutch,assistant,0.00299,0.00011,0.00064,0.00002,0.00045,0.00001,0.00004,0.03321,0.01251,0.01004,0.00237,0.04173,0.00567,0.02155,0.00079,0.00452,0.00011,0.00436,0.00008,0.00079,0.16695,0.10098,0.06193,0.02733,0.1726,0.02581
Dutch,user,0.01507,0.00021,0.00384,0.00005,0.00029,0.00001,0.00002,0.03213,0.00292,0.01116,0.00126,0.05417,0.00609,0.08902,0.00252,0.02665,0.00019,0.00341,0.00007,0.00036,0.15616,0.03319,0.06849,0.00984,0.18228,0.02082
English,all,0.00794,0.00128,0.00161,0.00019,0.00062,0.00013,0.00044,0.04316,0.00797,0.01171,0.00134,0.05425,0.00694,0.06559,0.0225,0.02883,0.01021,0.01985,0.00869,0.01784,0.18318,0.0776,0.07803,0.02564,0.19782,0.0285
English,assistant,0.00757,0.00183,0.00141,0.00025,0.00038,0.0001,0.00019,0.05147,0.00958,0.01443,0.00193,0.06245,0.0081,0.06364,0.02671,0.02827,0.01205,0.01378,0.00844,0.01039,0.20193,0.08537,0.0879,0.03148,0.21508,0.03131
English,user,0.00831,0.00073,0.0018,0.00013,0.00086,0.00015,0.00069,0.03486,0.00636,0.00898,0.00074,0.04606,0.00578,0.06749,0.01728,0.02939,0.00797,0.02445,0.00892,0.02298,0.16185,0.06892,0.06662,0.01799,0.17852,0.02533
Estonian,all,0.002,0.00002,0.00068,0.00001,0.00062,0.00001,0.00003,0.00074,0.00006,0.00154,0.00007,0.00369,0.00052,0.00802,0.00005,0.00156,0.00002,0.00306,0.00005,0.00009,0.00164,0.00014,0.00303,0.00017,0.00876,0.00098
Estonian,assistant,0.00251,0.00001,0.00066,0.0,0.00106,0.00001,0.00004,0.00053,0.00006,0.00197,0.00009,0.00477,0.00063,0.01057,0.00003,0.00152,0.0,0.00429,0.00007,0.00012,0.00131,0.00018,0.00399,0.00021,0.01151,0.00124
Estonian,user,0.00149,0.00003,0.00071,0.00001,0.00018,0.0,0.00002,0.00095,0.00005,0.0011,0.00005,0.00261,0.00042,0.00426,0.00006,0.00162,0.00003,0.00041,0.00001,0.00004,0.00191,0.00008,0.00152,0.00011,0.00455,0.00064
Finnish,all,0.00234,0.00011,0.00066,0.00003,0.0005,0.00001,0.00002,0.00388,0.00022,0.00148,0.00003,0.00712,0.00084,0.01785,0.00115,0.00346,0.00022,0.00624,0.00015,0.00018,0.0385,0.00196,0.00766,0.00014,0.04276,0.00435
Finnish,assistant,0.00153,0.00011,0.00059,0.00001,0.00021,0.00002,0.00003,0.00521,0.00021,0.00137,0.00003,0.00723,0.00085,0.00797,0.00127,0.00417,0.00006,0.0016,0.0002,0.00024,0.0535,0.00246,0.0061,0.00011,0.05414,0.00533
Finnish,user,0.00316,0.00011,0.00073,0.00005,0.00078,0.00001,0.00002,0.00254,0.00023,0.00159,0.00004,0.007,0.00084,0.02395,0.00103,0.00257,0.0003,0.00868,0.00004,0.00009,0.01031,0.00127,0.00896,0.00016,0.02713,0.0031
French,all,0.00801,0.00042,0.00226,0.00011,0.00042,0.00005,0.00004,0.02933,0.00555,0.00588,0.00065,0.03912,0.00479,0.05846,0.00994,0.02696,0.00417,0.00759,0.0027,0.00153,0.14706,0.06523,0.04087,0.01171,0.15859,0.02066
French,assistant,0.0056,0.00045,0.00146,0.0001,0.00038,0.00003,0.00004,0.03373,0.00713,0.00617,0.0007,0.04072,0.00507,0.04883,0.01111,0.02497,0.00513,0.00624,0.00048,0.0015,0.16035,0.07577,0.04124,0.01376,0.1679,0.02231
French,user,0.01042,0.00039,0.00305,0.00012,0.00046,0.00007,0.00004,0.02494,0.00397,0.00558,0.0006,0.03752,0.00451,0.06663,0.00861,0.02878,0.0029,0.00873,0.00378,0.00155,0.13229,0.05259,0.04051,0.00922,0.14869,0.01885
Galician,all,0.00409,0.00003,0.00113,0.00002,0.00048,0.0,0.00001,0.00303,0.00007,0.004,0.00016,0.01077,0.00118,0.03335,0.00032,0.00799,0.00009,0.00699,0.00003,0.00006,0.02258,0.00024,0.03702,0.00136,0.05403,0.00554
Galician,assistant,0.001,0.00001,0.00015,0.00001,0.00076,0.0,0.00001,0.00326,0.00005,0.00352,0.00024,0.00727,0.00082,0.00648,0.00004,0.0006,0.00006,0.0098,0.00004,0.00006,0.02356,0.0002,0.0262,0.00187,0.0354,0.00397
Galician,user,0.00718,0.00006,0.00211,0.00003,0.00019,0.0,0.00001,0.00281,0.00008,0.00448,0.00008,0.01426,0.00155,0.04653,0.00045,0.0112,0.00012,0.00125,0.00001,0.00006,0.02158,0.00027,0.04535,0.00045,0.06757,0.00674
German,all,0.00749,0.00086,0.00268,0.00036,0.00045,0.00003,0.00005,0.03826,0.0201,0.00765,0.00061,0.04946,0.00714,0.06081,0.02046,0.02995,0.01315,0.00945,0.0005,0.00334,0.17155,0.12494,0.05456,0.01243,0.18359,0.0298
German,assistant,0.00443,0.00082,0.00132,0.00018,0.00051,0.00003,0.00005,0.0504,0.02592,0.00819,0.0009,0.05855,0.00843,0.0432,0.01842,0.02043,0.00775,0.01058,0.00058,0.00154,0.19755,0.14092,0.05652,0.01656,0.20425,0.03227
German,user,0.01054,0.00091,0.00405,0.00054,0.0004,0.00003,0.00005,0.02612,0.01427,0.00712,0.00031,0.04037,0.00585,0.07424,0.02232,0.03705,0.01691,0.00816,0.00041,0.00447,0.13978,0.10628,0.05252,0.00588,0.15979,0.02704
Greek,all,0.00114,0.00018,0.00047,0.00012,0.00015,0.00014,0.00011,0.00187,0.00018,0.00168,0.00008,0.0038,0.00056,0.00521,0.00198,0.002,0.00076,0.00057,0.00078,0.00063,0.00655,0.00082,0.00901,0.00027,0.01165,0.00159
Greek,assistant,0.00106,0.00004,0.00019,0.00002,0.00018,0.00021,0.00014,0.00112,0.00009,0.00143,0.00009,0.00296,0.00042,0.00595,0.00037,0.00093,0.00008,0.00075,0.00107,0.00078,0.00498,0.00053,0.00587,0.00034,0.00924,0.00114
Greek,user,0.00122,0.00033,0.00076,0.00023,0.00011,0.00006,0.00008,0.00262,0.00026,0.00192,0.00006,0.00464,0.0007,0.00435,0.00277,0.00264,0.00106,0.00031,0.00021,0.00043,0.00774,0.00103,0.0113,0.00016,0.0136,0.00193
Hungarian,all,0.00346,0.00099,0.00041,0.00009,0.00037,0.00001,0.00003,0.00336,0.00012,0.00527,0.0001,0.00981,0.00129,0.02961,0.01647,0.00337,0.00067,0.0047,0.0001,0.00032,0.03218,0.00073,0.0411,0.0005,0.05463,0.00802
Hungarian,assistant,0.00341,0.00174,0.00019,0.00003,0.00044,0.0,0.00002,0.00136,0.00006,0.00596,0.00009,0.00758,0.00121,0.03385,0.02309,0.00085,0.00015,0.00555,0.00001,0.00014,0.01042,0.00029,0.05059,0.00034,0.05175,0.00976
Hungarian,user,0.00351,0.00025,0.00063,0.00015,0.00031,0.00002,0.00004,0.00537,0.00018,0.00458,0.0001,0.01203,0.00138,0.0247,0.00307,0.00468,0.00094,0.00366,0.00015,0.00043,0.04424,0.00099,0.02867,0.00062,0.05735,0.00578
Irish,all,0.00127,0.00007,0.00045,0.0002,0.00008,0.00001,0.00001,0.00122,0.00005,0.00061,0.00006,0.00237,0.00037,0.00308,0.00021,0.00063,0.00062,0.00018,0.00002,0.00004,0.00296,0.00011,0.00124,0.00012,0.00391,0.00051
Irish,assistant,0.00066,0.00001,0.00024,0.00002,0.00015,0.00001,0.00002,0.00233,0.00009,0.00101,0.00008,0.00252,0.00042,0.0012,0.00003,0.00049,0.00007,0.00024,0.00002,0.00006,0.00394,0.00015,0.00164,0.00013,0.00385,0.00057
Irish,user,0.00188,0.00013,0.00065,0.00038,0.00001,0.00001,0.0,0.00012,0.00001,0.00022,0.00005,0.00222,0.00032,0.00417,0.00029,0.0007,0.00086,0.00003,0.00002,0.00001,0.00012,0.00002,0.00037,0.0001,0.0041,0.00045
Italian,all,0.00374,0.00025,0.00076,0.00003,0.00021,0.00004,0.00007,0.01869,0.00339,0.00368,0.0002,0.02383,0.00282,0.03841,0.00704,0.0118,0.00057,0.00864,0.00567,0.00682,0.11863,0.04951,0.0357,0.00737,0.12669,0.01597
Italian,assistant,0.00286,0.00026,0.0004,0.00002,0.00016,0.00001,0.00002,0.02222,0.0041,0.0041,0.0003,0.02633,0.00313,0.03257,0.00664,0.0076,0.00043,0.00499,0.00007,0.00039,0.13287,0.05614,0.03636,0.00993,0.13821,0.01736
Italian,user,0.00461,0.00023,0.00113,0.00004,0.00026,0.00008,0.00011,0.01515,0.00267,0.00326,0.00009,0.02132,0.00251,0.04346,0.00741,0.01484,0.00068,0.01116,0.00802,0.00963,0.10231,0.04183,0.03503,0.00314,0.11398,0.01445
Latvian,all,0.00539,0.00003,0.0029,0.00002,0.0001,0.00001,0.0,0.00204,0.00003,0.00179,0.00016,0.00885,0.00113,0.05942,0.00011,0.0285,0.00009,0.00055,0.00005,0.00002,0.0094,0.00012,0.00888,0.00109,0.06047,0.00806
Latvian,assistant,0.00035,0.00001,0.00016,0.00001,0.00009,0.00001,0.00001,0.00292,0.00003,0.00083,0.00007,0.00372,0.00041,0.00084,0.00002,0.00039,0.00003,0.00044,0.00007,0.00003,0.0124,0.00015,0.00414,0.00031,0.01288,0.00121
Latvian,user,0.01043,0.00005,0.00564,0.00003,0.00012,0.00001,0.0,0.00115,0.00003,0.00274,0.00025,0.01398,0.00186,0.08402,0.00015,0.04025,0.00013,0.00065,0.00002,0.00001,0.00477,0.00007,0.01183,0.00151,0.08454,0.01133
Lithuanian,all,0.00014,0.00001,0.00008,0.00009,0.00004,0.0,0.0,0.00008,0.00002,0.00025,0.0,0.00034,0.00006,0.00018,0.00001,0.0001,0.00011,0.00007,0.0,0.0,0.00011,0.00003,0.00026,0.0,0.00022,0.00005
Lithuanian,assistant,0.00002,0.0,0.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.00028,0.0,0.00029,0.00003,0.00002,0.0,0.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.00039,0.0,0.00037,0.00003
Lithuanian,user,0.00025,0.00002,0.00015,0.00018,0.00009,0.0,0.00001,0.00016,0.00003,0.00023,0.0,0.00039,0.0001,0.0002,0.00002,0.00009,0.00005,0.00009,0.0,0.0,0.00012,0.00004,0.00023,0.0,0.0,0.00003
Maltese,all,0.00057,0.00002,0.00035,0.00001,0.00003,0.0,0.0,0.00208,0.00008,0.0031,0.00005,0.00549,0.00057,0.00201,0.00008,0.0009,0.00004,0.00006,0.0,0.0,0.00821,0.00019,0.01375,0.00027,0.01563,0.00145
Maltese,assistant,0.00018,0.00001,0.00022,0.0,0.00002,0.0,0.0,0.00088,0.00006,0.00523,0.00009,0.00614,0.00061,0.00027,0.00001,0.00049,0.0,0.00006,0.0,0.0,0.00232,0.00016,0.01923,0.00038,0.01911,0.00178
Maltese,user,0.00096,0.00004,0.00048,0.00002,0.00003,0.0,0.0,0.00329,0.00009,0.00097,0.00001,0.00485,0.00053,0.0028,0.00012,0.00117,0.00006,0.00006,0.0,0.0,0.01136,0.00022,0.00262,0.00002,0.01152,0.00106
Norwegian,all,0.00259,0.00004,0.00039,0.00005,0.00012,0.0,0.0,0.00045,0.00005,0.00359,0.00009,0.00603,0.00067,0.01732,0.00026,0.0016,0.00037,0.00106,0.00001,0.00001,0.00176,0.00024,0.01447,0.00063,0.0222,0.00221
Norwegian,assistant,0.00086,0.00002,0.00013,0.00001,0.0002,0.0,0.0,0.00054,0.00005,0.00471,0.00015,0.0055,0.00061,0.00498,0.00015,0.00069,0.00006,0.00144,0.00001,0.00002,0.00189,0.00021,0.01908,0.00088,0.01955,0.00202
Norwegian,user,0.00433,0.00007,0.00065,0.00008,0.00005,0.0,0.0,0.00036,0.00005,0.00246,0.00003,0.00656,0.00074,0.02388,0.00033,0.00213,0.00052,0.00044,0.00001,0.0,0.00163,0.00027,0.00728,0.00012,0.0246,0.00239
Polish,all,0.00653,0.00061,0.00106,0.00004,0.00035,0.00001,0.0001,0.00927,0.00093,0.00713,0.00009,0.01981,0.00237,0.05666,0.01622,0.01747,0.00048,0.01102,0.00037,0.00502,0.07718,0.02082,0.05756,0.00225,0.1052,0.01355
Polish,assistant,0.00534,0.00088,0.00041,0.00002,0.00043,0.00002,0.00003,0.01039,0.00094,0.0077,0.00013,0.0196,0.00239,0.05142,0.02244,0.00897,0.00029,0.01361,0.00051,0.00054,0.08469,0.02181,0.06173,0.00311,0.10773,0.01466
Polish,user,0.00773,0.00034,0.00172,0.00006,0.00026,0.00001,0.00016,0.00814,0.00092,0.00656,0.00004,0.02002,0.00236,0.06145,0.00477,0.023,0.00062,0.00761,0.0001,0.00708,0.06884,0.01978,0.05307,0.00067,0.10262,0.01234
Portuguese,all,0.0046,0.00034,0.00108,0.00009,0.00043,0.00004,0.00008,0.00838,0.00188,0.00359,0.00034,0.01495,0.00189,0.04135,0.01055,0.01439,0.00562,0.00966,0.00302,0.00562,0.07277,0.03761,0.03631,0.00978,0.08803,0.01233
Portuguese,assistant,0.00295,0.00036,0.00048,0.00005,0.00034,0.00004,0.00006,0.00821,0.00187,0.00404,0.00047,0.01329,0.00171,0.03235,0.01146,0.00948,0.00425,0.00811,0.0042,0.00434,0.0727,0.0378,0.03742,0.01203,0.0847,0.01214
Portuguese,user,0.00624,0.00032,0.00169,0.00012,0.00053,0.00003,0.00009,0.00855,0.00189,0.00315,0.0002,0.01662,0.00207,0.04867,0.00956,0.01799,0.00672,0.01099,0.00075,0.00666,0.07284,0.03742,0.03516,0.00681,0.09122,0.01252
Romanian,all,0.00508,0.0003,0.00035,0.00002,0.00004,0.0,0.00001,0.00144,0.00005,0.00348,0.00036,0.00882,0.00101,0.05456,0.0038,0.00277,0.00006,0.00028,0.00003,0.00021,0.00906,0.00024,0.02869,0.00393,0.06143,0.0066
Romanian,assistant,0.00483,0.0001,0.00027,0.00002,0.00004,0.0,0.00001,0.00127,0.00006,0.00212,0.00021,0.00702,0.00081,0.0533,0.00137,0.00268,0.00007,0.00028,0.00001,0.00004,0.00911,0.00031,0.00724,0.00154,0.05373,0.00562
Romanian,user,0.00534,0.00049,0.00044,0.00002,0.00004,0.0,0.00002,0.00161,0.00004,0.00484,0.00052,0.01061,0.00121,0.05586,0.0052,0.00286,0.00005,0.00028,0.00004,0.0003,0.00902,0.00014,0.03991,0.00534,0.06828,0.00745
Slovak,all,0.0058,0.00003,0.00154,0.00003,0.0001,0.00001,0.00001,0.0081,0.00023,0.00098,0.00003,0.01482,0.00153,0.04365,0.00021,0.01325,0.00022,0.00077,0.00004,0.00007,0.05729,0.00236,0.01158,0.0001,0.07297,0.0069
Slovak,assistant,0.00251,0.00002,0.00009,0.00002,0.00006,0.0,0.00001,0.00809,0.00005,0.00073,0.00004,0.01092,0.00106,0.01914,0.00021,0.00062,0.00026,0.00026,0.00002,0.00009,0.06946,0.00019,0.00413,0.00013,0.07183,0.00654
Slovak,user,0.00908,0.00004,0.003,0.00004,0.00014,0.00001,0.00001,0.0081,0.0004,0.00122,0.00002,0.01873,0.00201,0.05855,0.00021,0.01863,0.00018,0.00106,0.00006,0.00004,0.04185,0.00333,0.01586,0.00006,0.07399,0.00722
Slovenian,all,0.01247,0.0005,0.00297,0.00005,0.00003,0.0,0.0,0.00074,0.00002,0.00173,0.00003,0.01358,0.00169,0.09799,0.00444,0.02573,0.00042,0.00017,0.00001,0.00003,0.00508,0.00006,0.00668,0.00016,0.09799,0.01248
Slovenian,assistant,0.00552,0.00012,0.00072,0.00009,0.00005,0.0,0.00001,0.00035,0.00002,0.00169,0.00002,0.00672,0.00078,0.02251,0.00042,0.00391,0.00059,0.00024,0.00001,0.00004,0.00134,0.00008,0.00657,0.00006,0.02315,0.00259
Slovenian,user,0.01943,0.00088,0.00523,0.00001,0.00001,0.0,0.0,0.00113,0.00002,0.00177,0.00005,0.02044,0.00259,0.13705,0.00627,0.03621,0.00004,0.00002,0.00001,0.0,0.00707,0.00004,0.00686,0.00022,0.13695,0.01749
Spanish,all,0.00648,0.00059,0.00149,0.00005,0.00045,0.00004,0.00008,0.01466,0.00239,0.005,0.00048,0.02336,0.00288,0.05383,0.01554,0.01838,0.00374,0.01105,0.00357,0.00548,0.10128,0.04005,0.04604,0.01176,0.11789,0.01599
Spanish,assistant,0.00482,0.00083,0.00065,0.00002,0.0004,0.00004,0.00008,0.01621,0.00314,0.00621,0.00065,0.02323,0.00301,0.0477,0.01965,0.01142,0.00054,0.01121,0.00377,0.00568,0.10919,0.04632,0.05176,0.015,0.12206,0.01778
Spanish,user,0.00815,0.00035,0.00232,0.00008,0.00051,0.00005,0.00009,0.0131,0.00164,0.00378,0.00031,0.02349,0.00276,0.05928,0.00983,0.02332,0.00526,0.01089,0.00335,0.00529,0.09269,0.03257,0.03946,0.00718,0.11357,0.01397
Swedish,all,0.01035,0.0002,0.00124,0.00006,0.00043,0.00002,0.00011,0.02307,0.00022,0.00656,0.00019,0.03763,0.00386,0.05845,0.00254,0.01146,0.00061,0.01343,0.00032,0.00398,0.11408,0.00274,0.04335,0.00228,0.132,0.01302
Swedish,assistant,0.00374,0.00014,0.00031,0.00003,0.00008,0.00002,0.00001,0.01959,0.00031,0.00461,0.00018,0.02623,0.00264,0.01742,0.00286,0.00169,0.0002,0.00044,0.00043,0.00011,0.10374,0.00385,0.03074,0.0018,0.108,0.01028
Swedish,user,0.01697,0.00025,0.00217,0.00009,0.00078,0.00002,0.0002,0.02656,0.00013,0.0085,0.0002,0.04903,0.00508,0.08028,0.00218,0.01606,0.00084,0.01898,0.00016,0.00563,0.12351,0.00047,0.05298,0.00268,0.15147,0.01518
Ukrainian,all,0.00161,0.00029,0.00054,0.00009,0.00021,0.00001,0.00003,0.0015,0.00014,0.00225,0.00022,0.0047,0.00063,0.01733,0.00867,0.01181,0.00263,0.00724,0.00017,0.00078,0.02305,0.0025,0.02673,0.00156,0.03849,0.00549
Ukrainian,assistant,0.00151,0.00035,0.00029,0.00003,0.0004,0.00001,0.00005,0.0011,0.00012,0.00196,0.00017,0.00387,0.00054,0.0177,0.01051,0.00453,0.00024,0.01023,0.0001,0.0011,0.0137,0.00283,0.02114,0.00135,0.02989,0.00444
Ukrainian,user,0.0017,0.00022,0.00079,0.00016,0.00003,0.00002,0.00002,0.00191,0.00016,0.00253,0.00028,0.00553,0.00071,0.01696,0.00631,0.01608,0.00371,0.00026,0.00022,0.00013,0.02957,0.00212,0.03135,0.00175,0.04549,0.00636
